,c.dogalize,c.android.youtube,c.katana,c.android.gm,c.android.chrome
0,14.861,11.58414,12.03004,10.27425,10.91841
1,14.83612,12.34182,11.04896,9.89308,11.4485
2,16.72953,12.50429,10.10484,16.8115,11.10686
3,8.0111,14.99371,14.78679,11.08389,6.3869
4,11.6162,12.77182,10.49031,12.13535,13.94101
5,16.63966,8.44242,15.05529,9.36835,9.16671
6,14.78454,8.89388,12.66419,5.53849,10.50684
7,10.21461,14.15291,10.43861,16.60719,13.12482
8,12.14845,9.04638,11.3853,11.1573,12.70361
9,12.96514,11.00252,11.97847,9.08239,12.12512
10,11.93992,17.61542,15.15126,21.97495,8.06117
11,14.68787,10.81971,9.74905,9.79179,12.30714
12,10.80645,12.73498,10.51397,16.89143,11.61223
13,7.98047,13.2211,14.899,12.57897,10.88448
14,8.14338,14.28816,15.56026,10.9267,9.07919
15,11.98363,19.79621,12.87397,14.21679,7.76971
16,15.7659,11.19058,11.99937,8.92611,12.39415
17,10.69145,12.06598,15.72253,10.45649,15.97393
18,11.40738,13.1935,11.64323,15.13946,9.42242
19,10.25712,15.30136,14.52323,6.84114,16.01902
20,10.5592,16.33402,9.92271,12.66339,9.94501
21,11.60186,14.22032,13.15498,10.86325,13.66981
22,13.68547,10.14985,12.136,11.71445,12.72338
23,10.60475,14.96163,14.94733,10.33703,12.97873
24,14.47988,13.06312,10.19108,13.22251,11.2833
25,9.20553,13.97816,17.26166,13.05606,9.28117
26,10.34913,8.45925,14.15038,12.26461,14.06456
27,12.282,11.48649,9.03916,8.31291,11.37607
28,8.29248,10.92617,11.74703,16.12723,8.04658
29,11.86542,8.7072,11.03156,13.61605,13.29776
30,16.68435,11.82505,12.19135,13.7988,11.23418
31,13.31123,10.81546,15.27702,10.9577,13.14372
32,14.96784,7.92115,11.66256,12.83264,9.3834
33,11.48164,12.17821,13.90923,10.80653,15.14527
34,9.44143,15.72361,13.01165,16.74139,8.99937
35,17.33472,10.65334,12.45008,7.98553,9.53248
36,16.17222,12.60373,11.67795,10.02916,12.41282
37,8.96262,11.62237,10.50562,11.97322,12.58708
38,13.24672,10.49251,12.61153,9.15221,12.15329
39,11.78373,12.95447,15.50785,9.9571,14.42656
40,12.55652,9.64883,7.53996,11.61523,11.23191
41,9.32915,12.45799,13.50756,11.58762,14.25134
42,15.71804,11.8406,10.45981,14.07758,10.10344
43,9.30164,12.98123,14.38504,12.94603,9.00481
44,10.52908,18.67717,17.97595,14.37222,14.14868
45,13.35653,16.05215,13.28945,9.69125,13.45817
46,11.21658,9.86907,14.50919,8.66447,14.95093
47,11.4886,10.91321,10.43383,8.68212,11.53434
48,10.48017,15.81185,13.23882,18.31743,9.55851
49,8.06348,14.40675,8.2804,14.35165,13.66612
50,8.32889,18.30969,17.57784,11.26807,9.27085
51,14.89281,12.97977,9.5322,13.33507,11.38866
52,12.30453,16.75317,12.73821,15.98296,8.68942
53,11.1531,12.27656,9.60864,13.48777,11.72535
54,13.39327,11.58738,9.57397,11.73728,13.79907
55,11.98443,12.94566,15.0545,8.79238,15.81699
56,11.26773,13.21995,11.57827,12.88679,10.47354
57,9.37128,13.56724,10.44084,11.28777,11.73131
58,11.63034,10.71646,14.71558,9.66455,15.05634
59,14.10627,13.94007,11.41628,15.17762,11.06389
60,11.02206,8.89428,15.63887,11.77598,12.09484
61,16.48519,12.19574,8.78979,12.06826,9.58413
62,15.7169,10.49301,10.44777,10.08121,13.00188
63,14.30513,15.99234,10.81493,13.68646,10.89848
64,12.19768,14.0471,10.63173,13.92359,11.32239
65,9.60509,16.51674,9.54008,10.42816,11.31271
66,14.17158,18.16042,11.89398,18.92297,7.77618
67,12.53016,12.88588,10.20701,11.62718,11.0232
68,12.4684,9.15059,14.88031,11.35101,14.43948
69,9.72314,14.40208,8.76022,14.32193,12.18525
70,11.31767,10.06882,10.39937,11.53089,9.29632
71,10.17987,8.9249,14.0789,12.57086,12.82073
72,12.18467,18.65623,17.24282,8.69224,11.60282
73,10.02315,18.16388,11.67359,16.39019,6.69467
74,17.05761,12.45591,10.89604,14.91619,12.81746
75,13.81811,12.9984,12.827,9.60134,12.86061
76,12.62534,14.77021,10.77523,15.14012,10.65967
77,11.18381,16.68459,11.75138,13.24543,11.42814
78,15.13029,15.77197,7.92767,15.35768,11.13858
79,6.32709,15.98571,16.94563,11.45642,11.52475
80,10.86619,7.73923,16.59933,11.61587,13.37991
81,16.08767,12.85958,10.40909,13.12401,12.53448
82,11.92621,17.29928,10.95116,16.26816,10.43967
83,13.95454,18.73076,11.69834,14.73772,9.21656
84,8.97311,15.70833,15.49714,18.992,8.8786
85,15.7727,12.97361,11.03924,11.87486,11.99468
86,12.43599,14.90016,14.78422,10.35628,13.68533
87,12.35745,16.11259,11.46367,14.70745,10.51895
88,11.42121,10.66494,13.1022,14.53417,14.95305
89,12.3411,11.76043,14.12287,9.85609,12.52475
90,8.25359,11.30409,15.87352,8.23854,14.57932
91,8.19883,13.63256,9.25054,16.00771,11.19696
92,13.73046,12.90495,13.16735,6.95944,11.3511
93,16.11742,8.56456,13.36887,7.16261,12.01098
94,7.8648,14.68856,11.97616,14.04101,9.3057
95,8.92715,14.12003,8.98798,12.83182,12.47244
96,12.01056,13.20317,11.0874,13.5292,13.09158
97,11.82412,13.447,14.28123,10.54544,14.62813
98,9.93799,14.43316,13.01536,11.33402,7.7565
99,17.76412,7.58439,14.46116,9.5831,8.75245
100,12.58472,12.41674,8.39343,15.88537,11.79112
101,13.80937,14.01319,14.79358,11.40247,13.4024
102,13.42884,13.21088,15.35088,11.36261,15.13837
103,10.41887,16.44448,18.82448,11.54088,11.77619
104,11.56645,14.55036,12.00561,12.72245,13.17762
105,13.46318,11.45668,9.40567,12.99255,12.37713
106,12.35052,13.76021,12.50126,14.64553,9.85031
107,17.73798,13.44698,11.76818,9.97312,10.392
108,13.94933,12.83751,12.95803,9.62479,12.52926
109,15.0974,9.44056,13.38739,10.23446,10.02905
110,12.07746,7.14372,15.68364,7.15062,14.75922
111,11.85936,14.52781,10.81339,17.55522,13.86619
112,14.77312,9.40707,13.52584,15.83684,10.47974
113,9.57108,9.78901,13.57763,11.30589,14.68041
114,10.05317,9.56742,14.94716,9.29982,12.58266
115,10.84931,12.89133,11.8535,11.30365,10.07799
116,11.49566,14.67724,14.82362,12.72331,11.62004
117,8.12933,16.4246,13.08805,15.57707,8.24881
118,9.68999,16.94732,10.78755,14.60663,9.8151
119,15.01115,7.76459,13.10107,10.188,9.75892
120,17.15843,11.7351,14.01221,11.01664,11.56157
