,p.android.gm,p.android.settings,p.system,p.android.externalstorage,p.android.documentsui
0,11.1477,10.34567,14.24441,11.51584,13.85827
1,9.51907,8.97598,16.31514,10.40542,13.02322
2,13.1584,12.78871,18.05368,11.5774,15.33671
3,11.61736,9.20242,9.84154,11.75419,11.43078
4,13.19246,15.4898,14.67672,12.6241,14.81432
5,11.85414,9.48839,14.30349,12.03101,15.68453
6,11.11645,9.04706,16.71941,12.40306,13.27663
7,10.13552,18.99538,14.19047,13.7083,17.03361
8,11.17519,14.03401,11.49647,7.84462,14.40836
9,10.13581,10.22033,14.50145,13.94724,12.67595
10,11.2195,11.35186,9.30134,17.26687,19.95667
11,7.78145,7.72793,14.65933,9.45708,17.94786
12,11.57289,14.72209,15.0891,15.45337,12.57754
13,14.70059,17.83642,10.20191,15.19718,12.77384
14,14.56408,17.59565,11.31982,13.05954,12.09468
15,11.82333,11.1076,10.19852,17.12446,18.77987
16,10.91929,12.12842,14.36649,11.88782,15.53967
17,15.57392,18.49267,10.39955,14.14072,13.76486
18,9.93053,15.46825,15.71794,14.61264,15.06539
19,12.63468,11.30751,8.71786,13.11306,17.11447
20,11.66545,11.01877,15.44195,14.55938,13.91373
21,14.89441,15.82777,10.79262,12.1327,11.41329
22,15.11894,13.19346,12.02266,13.82993,13.78113
23,13.06251,12.79233,10.0525,16.39018,12.16417
24,10.67176,10.94962,13.66963,13.2444,16.21972
25,12.42897,12.61503,12.21338,14.32695,9.50697
26,15.81572,15.32415,13.15087,15.03806,13.81336
27,8.27807,8.26727,14.59669,9.66442,10.92253
28,9.87385,11.60396,10.49245,13.3342,11.23145
29,13.71408,11.55952,13.01654,15.66183,14.06247
30,12.17214,12.10851,16.1884,11.85693,15.412
31,13.86057,14.70777,9.58738,15.28829,17.00407
32,14.53091,14.00667,13.6409,11.68171,13.83161
33,11.13169,13.10793,11.95326,15.56915,15.2156
34,8.67025,14.41736,10.65017,13.45809,15.97779
35,11.63746,12.89186,9.4961,16.84633,10.99201
36,9.93745,9.69067,15.80059,12.09814,15.7637
37,10.5328,15.41208,15.65375,12.14953,11.39252
38,9.25348,11.9397,12.74809,8.57799,14.05408
39,15.52281,16.64473,9.29397,13.90091,13.11769
40,10.47435,11.35506,13.77016,7.92483,16.04669
41,15.45302,15.55931,12.90151,15.88217,13.80804
42,13.12077,13.5732,15.55841,10.73829,12.85282
