,ts,imei,mwra,c.dogalize,c.android.youtube,c.katana,c.android.gm,c.android.chrome,c.raider,c.updateassist,c.android.vending,c.UCMobile.intl,c.UCMobile.x86
0,2018-05-05 10:00:00,359043379931766817,0.0,14.861,11.58414,12.03004,10.27425,10.91841,38.44506,80.02544,26.10909,67.13184,93.30543
1,2018-05-05 10:01:00,8630330696303481313,1.0,14.83612,12.34182,11.04896,9.89308,11.4485,53.51368,16.38711,63.61596,53.85173,98.59528
2,2018-05-05 10:02:00,8630330696303482485,1.0,16.72953,12.50429,10.10484,16.8115,11.10686,44.3781,80.51528,79.91808,41.15915,86.4068
3,2018-05-05 10:03:00,8630330696303481628,0.0,8.0111,14.99371,14.78679,11.08389,6.3869,33.49077,20.9357,45.73413,93.57377,13.77874
4,2018-05-05 10:04:00,359043379931766957,0.0,11.6162,12.77182,10.49031,12.13535,13.94101,61.36395,25.23605,2.93423,92.11111,44.58123
5,2018-05-05 10:05:00,8630330696303481446,1.0,16.63966,8.44242,15.05529,9.36835,9.16671,42.71376,33.23265,83.17947,49.78666,33.55756
6,2018-05-05 10:06:00,3590433799317661065,1.0,14.78454,8.89388,12.66419,5.53849,10.50684,61.00701,56.31351,11.96079,1.60956,70.96222
7,2018-05-05 10:07:00,8630330696303482139,1.0,10.21461,14.15291,10.43861,16.60719,13.12482,46.96885,87.57451,93.87652,50.02014,81.33658
8,2018-05-05 10:08:00,863033069630348735,1.0,12.14845,9.04638,11.3853,11.1573,12.70361,28.06232,92.97897,5.46184,23.00845,27.78059
9,2018-05-05 10:09:00,863033069630348834,1.0,12.96514,11.00252,11.97847,9.08239,12.12512,57.04055,11.21625,65.08957,52.11524,97.6921
10,2018-05-05 10:10:00,3590433799317661826,1.0,11.93992,17.61542,15.15126,21.97495,8.06117,58.16016,8.8756,7.52819,29.02254,8.71843
11,2018-05-05 10:11:00,359043379931766643,1.0,14.68787,10.81971,9.74905,9.79179,12.30714,65.14564,55.08922,72.32998,6.88343,51.62298
12,2018-05-05 10:12:00,863033069630348867,1.0,10.80645,12.73498,10.51397,16.89143,11.61223,70.15931,3.4035,45.50488,86.12896,98.67836
13,2018-05-05 10:13:00,3590433799317661727,0.0,7.98047,13.2211,14.899,12.57897,10.88448,56.85658,89.87413,7.15381,78.41162,2.01473
14,2018-05-05 10:14:00,8630330696303481784,0.0,8.14338,14.28816,15.56026,10.9267,9.07919,79.09453,31.07969,76.78616,79.34431,62.27047
