ts	imei	mwra	c.dogalize	c.android.youtube	c.katana	c.android.gm	c.android.chrome	c.raider	c.updateassist	c.android.vending	c.UCMobile.intl	c.UCMobile.x86
2018-05-05 10:00:00	359043379931766817	0.00000	14.86100	11.58414	12.03004	10.27425	10.91841	38.44506	80.02544	26.10909	67.13184	93.30543
2018-05-05 10:01:00	8630330696303481313	1.00000	14.83612	12.34182	11.04896	9.89308	11.44850	53.51368	16.38711	63.61596	53.85173	98.59528
2018-05-05 10:02:00	8630330696303482485	1.00000	16.72953	12.50429	10.10484	16.81150	11.10686	44.37810	80.51528	79.91808	41.15915	86.40680
2018-05-05 10:03:00	8630330696303481628	0.00000	8.01110	14.99371	14.78679	11.08389	6.38690	33.49077	20.93570	45.73413	93.57377	13.77874
2018-05-05 10:04:00	359043379931766957	0.00000	11.61620	12.77182	10.49031	12.13535	13.94101	61.36395	25.23605	2.93423	92.11111	44.58123
2018-05-05 10:05:00	8630330696303481446	1.00000	16.63966	8.44242	15.05529	9.36835	9.16671	42.71376	33.23265	83.17947	49.78666	33.55756
2018-05-05 10:06:00	3590433799317661065	1.00000	14.78454	8.89388	12.66419	5.53849	10.50684	61.00701	56.31351	11.96079	1.60956	70.96222
2018-05-05 10:07:00	8630330696303482139	1.00000	10.21461	14.15291	10.43861	16.60719	13.12482	46.96885	87.57451	93.87652	50.02014	81.33658
2018-05-05 10:08:00	863033069630348735	1.00000	12.14845	9.04638	11.38530	11.15730	12.70361	28.06232	92.97897	5.46184	23.00845	27.78059
2018-05-05 10:09:00	863033069630348834	1.00000	12.96514	11.00252	11.97847	9.08239	12.12512	57.04055	11.21625	65.08957	52.11524	97.69210
2018-05-05 10:10:00	3590433799317661826	1.00000	11.93992	17.61542	15.15126	21.97495	8.06117	58.16016	8.87560	7.52819	29.02254	8.71843
2018-05-05 10:11:00	359043379931766643	1.00000	14.68787	10.81971	9.74905	9.79179	12.30714	65.14564	55.08922	72.32998	6.88343	51.62298
2018-05-05 10:12:00	863033069630348867	1.00000	10.80645	12.73498	10.51397	16.89143	11.61223	70.15931	3.40350	45.50488	86.12896	98.67836
2018-05-05 10:13:00	3590433799317661727	0.00000	7.98047	13.22110	14.89900	12.57897	10.88448	56.85658	89.87413	7.15381	78.41162	2.01473
2018-05-05 10:14:00	8630330696303481784	0.00000	8.14338	14.28816	15.56026	10.92670	9.07919	79.09453	31.07969	76.78616	79.34431	62.27047
2018-05-05 10:15:00	3590433799317661560	1.00000	11.98363	19.79621	12.87397	14.21679	7.76971	66.84198	77.38352	86.48117	8.52444	86.18295
2018-05-05 10:16:00	8630330696303481255	1.00000	15.76590	11.19058	11.99937	8.92611	12.39415	53.51701	80.80532	98.63687	82.62363	17.61634
2018-05-05 10:17:00	359043379931766692	0.00000	10.69145	12.06598	15.72253	10.45649	15.97393	54.43727	47.50540	74.87411	76.37115	98.88624
2018-05-05 10:18:00	8630330696303481776	1.00000	11.40738	13.19350	11.64323	15.13946	9.42242	66.11552	53.35585	90.38669	29.36933	15.99305
2018-05-05 10:19:00	3590433799317661065	0.00000	10.25712	15.30136	14.52323	6.84114	16.01902	78.73918	33.95907	59.93253	15.19795	95.76325
2018-05-05 10:20:00	8630330696303481826	1.00000	10.55920	16.33402	9.92271	12.66339	9.94501	72.54564	38.95491	23.85793	2.55710	79.83816
2018-05-05 10:21:00	3590433799317662444	0.00000	11.60186	14.22032	13.15498	10.86325	13.66981	74.51274	78.30621	33.49765	91.15850	73.82298
2018-05-05 10:22:00	3590433799317662014	0.00000	13.68547	10.14985	12.13600	11.71445	12.72338	28.83733	73.95482	90.79243	35.46981	57.37287
