ts	imei	mwra	p.android.chrome	p.android.externalstorage	p.android.gm	p.android.packageinstaller	p.android.settings	p.android.documentsui	p.system	p.gms.persistent	p.android.gms	p.simulator	p.inputmethod.latin	p.android.vending	p.notifier	p.katana	p.browser.provider	p.olauncher	p.process.gapps	p.google	p.android.defcontainer	p.dogalize
2018-05-05 10:00:00	359043379931766817	0.00000	12.67131	11.51584	11.14770	16.65822	10.34567	13.85827	14.24441	56.09808	0.01004	37.76847	67.41099	43.41425	76.85292	61.49504	83.84273	90.26474	64.52255	58.33299	53.62833	71.56538
2018-05-05 10:01:00	8630330696303481313	1.00000	14.37083	10.40542	9.51907	16.41548	8.97598	13.02322	16.31514	59.51320	0.05478	43.38375	63.46175	41.06191	96.50752	90.91460	28.28500	8.85422	51.89787	15.59966	73.88848	8.64346
2018-05-05 10:02:00	8630330696303482485	1.00000	15.29793	11.57740	13.15840	11.13504	12.78871	15.33671	18.05368	38.58355	0.13834	44.46979	61.37235	41.14340	14.49331	74.73880	4.18073	6.10243	44.94162	60.25186	74.62467	43.83823
2018-05-05 10:03:00	8630330696303481628	0.00000	17.46341	11.75419	11.61736	12.61226	9.20242	11.43078	9.84154	54.68177	1.20589	55.29236	43.42172	49.29721	21.64738	71.05116	62.98376	44.42369	51.61388	13.60374	19.42437	1.84968
2018-05-05 10:04:00	359043379931766957	0.00000	10.87997	12.62410	13.19246	13.77152	15.48980	14.81432	14.67672	30.53361	0.00169	27.95382	48.06657	70.43036	90.86824	42.66690	60.74888	50.69262	24.46560	70.89736	46.68829	36.31749
2018-05-05 10:05:00	8630330696303481446	1.00000	11.88230	12.03101	11.85414	15.33308	9.48839	15.68453	14.30349	47.83320	0.00458	61.55217	79.01544	42.81627	82.47807	16.55401	86.07172	67.98170	80.69637	6.93674	0.21792	21.08736
2018-05-05 10:06:00	3590433799317661065	1.00000	13.82880	12.40306	11.11645	15.98440	9.04706	13.27663	16.71941	69.84370	0.03187	42.82773	54.78224	42.02623	86.48085	16.21735	47.96587	80.85453	85.84343	34.63081	79.71525	3.78122
2018-05-05 10:07:00	8630330696303482139	1.00000	7.42560	13.70830	10.13552	14.60747	18.99538	17.03361	14.19047	43.40573	0.00009	57.90253	52.63615	29.73291	63.25478	59.63178	6.51420	54.83175	96.10002	89.88175	4.42438	68.12205
2018-05-05 10:08:00	863033069630348735	1.00000	13.73400	7.84462	11.17519	15.45637	14.03401	14.40836	11.49647	29.77734	0.02899	39.36091	64.89732	30.14432	18.14628	91.89821	4.83511	51.51964	55.41552	2.70983	47.76945	93.81122
2018-05-05 10:09:00	863033069630348834	1.00000	14.58266	13.94724	10.13581	12.56510	10.22033	12.67595	14.50145	53.95526	0.06771	32.93882	51.22626	56.99755	54.19781	5.14643	57.17740	70.85514	28.21117	54.83669	52.84358	32.64957
2018-05-05 10:10:00	3590433799317661826	1.00000	7.26473	17.26687	11.21950	11.86917	11.35186	19.95667	9.30134	53.38599	0.00006	82.33090	71.49237	22.19069	81.06786	77.70571	30.04551	91.81029	9.50091	9.29906	70.76533	66.19106
2018-05-05 10:11:00	359043379931766643	1.00000	13.16237	9.45708	7.78145	16.43750	7.72793	17.94786	14.65933	51.13578	0.01638	30.67779	40.49639	38.79880	78.65087	54.63678	51.53540	51.89685	98.34670	15.48309	11.26783	72.49881
2018-05-05 10:12:00	863033069630348867	1.00000	11.39319	15.45337	11.57289	14.90393	14.72209	12.57754	15.08910	48.18574	0.00280	41.45658	53.36107	34.89436	55.94501	15.16305	51.28351	36.86674	63.20402	27.43763	68.03898	78.15514
2018-05-05 10:13:00	3590433799317661727	0.00000	14.65232	15.19718	14.70059	15.82990	17.83642	12.77384	10.20191	57.78167	0.07255	40.08577	63.36937	46.58431	19.16979	69.42721	76.95568	18.48107	22.13560	48.64365	85.90877	67.94143
2018-05-05 10:14:00	8630330696303481784	0.00000	14.94349	13.05954	14.56408	14.71571	17.59565	12.09468	11.31982	40.24557	0.09707	23.84675	65.88616	70.43657	39.86136	28.71581	96.37230	81.24238	74.16863	11.10818	70.60450	97.69551
2018-05-05 10:15:00	3590433799317661560	1.00000	9.18556	17.12446	11.82333	14.23349	11.10760	18.77987	10.19852	49.73852	0.00033	43.59921	36.25783	44.01674	41.89542	92.53142	39.46629	29.88804	54.29643	38.88659	34.09404	17.87546
2018-05-05 10:16:00	8630330696303481255	1.00000	15.54159	11.88782	10.91929	14.25177	12.12842	15.53967	14.36649	48.78552	0.17651	38.55513	48.42753	28.77565	72.98239	12.42657	86.33960	64.27939	70.85785	60.10320	51.78782	70.71019
2018-05-05 10:17:00	359043379931766692	0.00000	9.10627	14.14072	15.57392	15.77181	18.49267	13.76486	10.39955	36.06180	0.00032	49.51467	49.35010	17.15379	41.86342	4.42852	61.41559	58.01684	44.21886	34.23535	22.52157	88.58181
2018-05-05 10:18:00	8630330696303481776	1.00000	12.80619	14.61264	9.93053	15.25432	15.46825	15.06539	15.71794	52.58236	0.01145	71.39674	57.18750	53.34380	70.47059	72.74697	33.36739	60.42429	31.17401	68.09574	4.26677	56.99356
2018-05-05 10:19:00	3590433799317661065	0.00000	11.87896	13.11306	12.63468	17.13477	11.30751	17.11447	8.71786	12.88681	0.00455	40.83205	54.04510	57.83104	37.65325	98.19586	28.20281	9.77221	39.28742	36.33510	58.29195	89.01886
2018-05-05 10:20:00	8630330696303481826	1.00000	14.32925	14.55938	11.66545	16.78495	11.01877	13.91373	15.44195	33.89341	0.05253	46.77290	55.58064	58.08903	67.16727	15.05859	37.55163	20.27028	35.86815	43.52568	71.27436	30.94016
2018-05-05 10:21:00	3590433799317662444	0.00000	14.57202	12.13270	14.89441	13.76102	15.82777	11.41329	10.79262	30.38266	0.06697	31.56452	48.29835	48.21487	57.34321	63.75945	29.40213	52.66003	5.80542	41.49510	35.66640	83.53528
2018-05-05 10:22:00	3590433799317662014	0.00000	13.09837	13.82993	15.11894	16.49373	13.19346	13.78113	12.02266	41.50411	0.01533	67.53706	52.00102	13.66278	20.08013	82.91479	40.78862	21.53062	27.63178	18.40115	71.45947	75.18363
2018-05-05 10:23:00	8630330696303482154	0.00000	15.94653	16.39018	13.06251	16.02602	12.79233	12.16417	10.05250	60.63946	0.26459	32.59650	37.08582	45.73580	96.59767	81.05174	95.27202	5.63937	75.54684	38.59401	5.89614	67.65526
2018-05-05 10:24:00	3590433799317661354	1.00000	17.45711	13.24440	10.67176	12.23000	10.94962	16.21972	13.66963	62.63909	1.19833	56.83073	50.63422	39.33221	95.75352	28.27857	87.75730	29.48149	75.11080	57.75260	25.76208	92.66409
2018-05-05 10:25:00	8630330696303481594	0.00000	13.65600	14.32695	12.42897	12.94076	12.61503	9.50697	12.21338	58.91562	0.02679	46.89528	57.83815	46.13560	39.30292	58.37703	62.50465	43.51049	97.16185	37.10853	27.35455	84.18826
2018-05-05 10:26:00	8630330696303481123	0.00000	12.84338	15.03806	15.81572	13.89983	15.32415	13.81336	13.15087	36.12870	0.01190	58.35827	67.33803	57.34273	57.65322	63.78203	49.22869	78.00481	53.77748	37.60449	44.58890	44.57909
2018-05-05 10:27:00	863033069630348701	1.00000	11.40917	9.66442	8.27807	17.67080	8.26727	10.92253	14.59669	41.66102	0.00286	58.28299	46.19053	68.88559	92.73723	30.28104	79.51493	38.49042	32.66287	88.20026	21.78950	95.63071
2018-05-05 10:28:00	3590433799317662477	1.00000	12.75941	13.33420	9.87385	17.48217	11.60396	11.23145	10.49245	57.93619	0.01096	60.76944	35.23450	40.48348	70.03693	47.32978	49.54192	94.06198	4.57472	68.91664	79.00835	93.14959
2018-05-05 10:29:00	8630330696303481586	0.00000	13.35756	15.66183	13.71408	13.96430	11.55952	14.06247	13.01654	57.51794	0.01990	74.72714	62.87061	73.20655	88.97248	17.72953	36.12387	56.54698	31.67687	52.95086	43.10543	14.80473
2018-05-05 10:30:00	359043379931766650	0.00000	15.12852	11.85693	12.17214	12.57201	12.10851	15.41200	16.18840	47.96840	0.11679	42.35793	49.13389	32.12253	36.40175	64.72670	46.79703	47.78686	94.35989	29.74218	77.61566	15.68315
2018-05-05 10:31:00	8630330696303481420	0.00000	8.20913	15.28829	13.86057	15.90319	14.70777	17.00407	9.58738	28.89295	0.00013	49.99388	62.49727	74.77462	95.19793	27.44650	40.09582	83.74988	4.66081	45.81934	58.74539	13.01163
2018-05-05 10:32:00	863033069630348693	1.00000	12.00534	11.68171	14.53091	11.11857	14.00667	13.83161	13.64090	62.82396	0.00518	23.51373	47.52274	41.83658	76.73868	15.15337	54.02345	48.21931	68.08031	2.03290	27.02857	49.86568
2018-05-05 10:33:00	8630330696303481073	0.00000	9.98849	15.56915	11.13169	15.56812	13.10793	15.21560	11.95326	55.94729	0.00073	37.73219	73.37020	67.69167	92.13404	6.14574	81.87216	68.51993	42.72044	31.83468	67.71590	38.90206
2018-05-05 10:34:00	8630330696303481859	1.00000	7.02400	13.45809	8.67025	13.50550	14.41736	15.97779	10.65017	42.38811	0.00006	71.90024	64.52893	54.66297	98.80102	72.22739	99.77021	32.21208	49.78775	55.24547	83.26000	93.73120
2018-05-05 10:35:00	3590433799317661099	0.00000	18.17915	16.84633	11.63746	14.17544	12.89186	10.99201	9.49610	42.45102	2.46692	40.10317	69.60803	50.11238	88.48263	13.41619	51.20903	29.06246	52.45050	97.71732	12.41669	38.23818
2018-05-05 10:36:00	8630330696303481891	1.00000	15.88367	12.09814	9.93745	14.91158	9.69067	15.76370	15.80059	53.56676	0.24847	35.68622	69.56250	48.86388	8.35552	11.56351	11.85390	24.42403	26.84631	29.06529	79.08073	11.58625
2018-05-05 10:37:00	359043379931766130	1.00000	12.54205	12.14953	10.53280	16.33673	15.41208	11.39252	15.65375	28.04287	0.00883	44.76412	41.38001	61.53219	74.08794	68.57105	72.71212	22.70178	13.77117	33.50405	37.96112	69.59398
2018-05-05 10:38:00	3590433799317661651	0.00000	16.78975	8.57799	9.25348	15.90130	11.93970	14.05408	12.74809	52.73694	0.61483	47.93588	52.34139	46.00970	89.10033	57.32973	68.91833	72.27226	98.64953	42.78286	57.54179	17.46119
2018-05-05 10:39:00	8630330696303481131	1.00000	9.79331	13.90091	15.52281	14.38108	16.64473	13.11769	9.29397	60.25049	0.00061	36.59086	56.26320	45.19406	37.86799	41.16354	6.32432	75.99451	77.07768	90.74466	51.39705	96.87913
2018-05-05 10:40:00	3590433799317661248	1.00000	14.02686	7.92483	10.47435	15.74587	11.35506	16.04669	13.77016	35.88913	0.03881	51.64671	56.10617	59.19494	44.36293	23.31258	84.11767	75.45218	25.20480	28.48699	87.41872	2.07425
2018-05-05 10:41:00	3590433799317662022	0.00000	14.25007	15.88217	15.45302	13.97346	15.55931	13.80804	12.90151	47.81860	0.04853	49.83972	77.11208	43.04206	16.92091	32.99028	0.81117	20.80182	66.29454	19.05811	62.41957	50.79173
2018-05-05 10:42:00	359043379931766239	1.00000	16.00007	10.73829	13.12077	12.02365	13.57320	12.85282	15.55841	60.62053	0.27915	47.98412	36.99537	50.90041	57.99629	49.75910	34.23479	37.64317	80.88575	0.04443	15.50797	23.11972
2018-05-05 10:43:00	8630330696303481107	0.00000	12.39081	14.49382	14.52943	13.00340	15.16910	11.29107	11.40365	34.94618	0.00762	31.19529	59.23835	72.09048	87.35810	10.82284	54.36622	63.72098	39.35229	49.12919	76.21893	91.27131
2018-05-05 10:44:00	863033069630348917	0.00000	10.79687	15.52213	17.32118	15.60487	12.14662	8.92547	13.47884	52.84847	0.00155	45.15127	46.09661	53.56543	59.81365	28.00600	83.95720	75.77869	47.53617	51.42649	42.53818	20.62779
2018-05-05 10:45:00	863033069630348446	0.00000	13.58435	13.63487	14.94254	14.17523	13.12164	9.14926	11.04826	39.67913	0.02498	42.16439	65.93073	40.78370	72.75139	34.67146	40.55660	74.80899	35.52530	55.79065	41.53911	8.42142
2018-05-05 10:46:00	863033069630348636	0.00000	10.60698	13.35698	11.90584	13.02973	12.04236	13.21469	9.59543	44.50790	0.00131	68.36411	45.56978	57.80987	91.73040	40.13887	51.97658	95.28776	78.10398	22.37208	77.54190	86.80251
2018-05-05 10:47:00	359043379931766569	1.00000	14.16830	9.24705	8.08104	19.04470	8.07338	15.10424	12.92008	41.92150	0.04469	42.02905	53.40232	49.12816	83.42937	75.72436	57.66232	4.46413	12.53610	62.08442	86.77883	21.53857
2018-05-05 10:48:00	8630330696303482022	1.00000	9.66349	16.25500	11.72640	15.27653	11.92738	16.06499	10.87917	66.07746	0.00055	34.12034	55.10448	30.37650	30.43914	61.78592	81.05691	40.75479	20.94339	67.47012	24.30139	91.91564
2018-05-05 10:49:00	863033069630348891	1.00000	7.83211	13.13140	10.05488	13.67345	16.07096	14.79111	13.37742	44.66845	0.00013	42.96949	66.70691	40.20656	48.43292	46.98162	71.39100	49.67806	93.69552	33.99418	11.28265	10.17048
2018-05-05 10:50:00	8630330696303481883	0.00000	12.21453	12.48098	16.60427	14.87427	13.85959	10.68906	13.63345	59.56645	0.00635	43.90625	59.59303	56.46393	57.62384	8.36394	38.08939	20.14850	53.24685	95.76595	68.82991	43.62438
2018-05-05 10:51:00	3590433799317662311	1.00000	15.88507	15.28788	13.49698	13.28884	14.96595	15.78979	19.29359	50.52283	0.24882	41.40607	70.10032	74.73587	6.52248	69.32583	94.90660	71.86594	95.01850	98.28725	69.44365	81.82539
2018-05-05 10:52:00	8630330696303481602	1.00000	8.06749	15.36013	10.37973	13.21111	14.42077	17.07394	11.22648	30.86747	0.00013	45.42400	49.62155	33.14427	86.28859	0.26196	25.14004	73.74008	9.07497	55.63369	75.85225	96.41196
2018-05-05 10:53:00	863033069630348263	1.00000	11.67480	12.82946	11.57756	13.36707	13.63382	11.28447	14.39750	58.31485	0.00371	60.18969	53.90976	53.15566	36.19598	74.00739	46.01704	13.31845	92.66945	89.56866	29.48455	98.74029
2018-05-05 10:54:00	863033069630348925	1.00000	12.71942	7.31359	8.17046	18.20287	9.79183	16.35198	15.23693	61.16892	0.01053	45.56911	58.98390	67.90976	66.54454	41.59792	48.53649	38.13274	83.34840	61.22230	4.37955	8.12535
2018-05-05 10:55:00	359043379931766411	0.00000	9.67373	13.10812	14.52115	15.87275	13.49193	15.76422	11.21554	42.57002	0.00052	50.92610	58.71169	67.29269	58.79335	60.09257	63.00259	74.92550	9.88180	26.16513	2.99665	67.28888
