,latitude,longitude,store_name,code,location,imei
0,-11.48472,-37.93278,Rio Real,BR,America/Bahia,863033069630348404
1,14.62072,74.83554,Sirsi,IN,Asia/Kolkata,8630330696303481412
2,54.84444,38.16694,Kashira,RU,Europe/Moscow,8630330696303481586
3,42.4251,-71.06616,Malden,US,America/New_York,3590433799317661503
4,37.1759,128.9889,T‚Äôaebaek,KR,Asia/Seoul,3590433799317661016
5,-1.26753,116.82887,Balikpapan,ID,Asia/Makassar,3590433799317661628
6,40.81,-73.9625,Morningside Heights,US,America/New_York,359043379931766627
7,-7.51611,109.05389,Wangon,ID,Asia/Jakarta,8630330696303481446
8,6.25947,102.05461,Tak Bai,TH,Asia/Bangkok,359043379931766015
9,37.05944,37.3825,Gaziantep,TR,Europe/Istanbul,3590433799317661784
10,6.95194,121.96361,Recodo,PH,Asia/Manila,8630330696303481453
11,52.68333,0.93333,East Dereham,GB,Europe/London,3590433799317662253
12,32.65246,51.67462,Isfahan,IR,Asia/Tehran,3590433799317662139
13,4.94273,15.87735,Carnot,CF,Africa/Bangui,8630330696303481511
14,34.9,137.5,Shinshiro,JP,Asia/Tokyo,359043379931766387
15,45.43341,-73.86586,Beaconsfield,CA,America/Toronto,863033069630348289
16,40.5576,-74.28459,Woodbridge,US,America/New_York,359043379931766114
17,35.72917,10.58082,Msaken,TN,Africa/Tunis,359043379931766411
18,34.31,-2.16,Jerada,MA,Africa/Casablanca,8630330696303481149
19,34.77453,-96.67834,Ada,US,America/Chicago,8630330696303481560
20,34.85,117.33333,Taozhuang,CN,Asia/Shanghai,8630330696303482071
21,30.81383,75.16878,Moga,IN,Asia/Kolkata,3590433799317661578
22,25.75728,75.37991,Deoli,IN,Asia/Kolkata,359043379931766858
23,48.8449,17.22635,Skalica,SK,Europe/Bratislava,8630330696303481511
24,-8.28333,-35.03333,Cabo,BR,America/Recife,359043379931766957
25,29.98869,122.20488,Zhoushan,CN,Asia/Shanghai,863033069630348982
26,36.6009,126.665,Hongseong,KR,Asia/Seoul,8630330696303482196
27,68.79833,16.54165,Harstad,NO,Europe/Oslo,3590433799317661537
28,43.91452,-69.96533,Brunswick,US,America/New_York,3590433799317661735
29,51.30001,13.10984,Oschatz,DE,Europe/Berlin,3590433799317661115
30,49.195061,16.606836,Brno,CZ,Europe/Prague,8630330696303481107
31,36.82167,128.63083,Eisen,KR,Asia/Seoul,8630330696303482055
32,42.7,27.25,Aytos,BG,Europe/Sofia,8630330696303481420
33,33.35283,-111.78903,Gilbert,US,America/Phoenix,3590433799317661800
34,48.21644,9.02596,Albstadt,DE,Europe/Berlin,3590433799317661248
35,43.32686,-2.98884,Leioa,ES,Europe/Madrid,863033069630348925
36,45.16024,-93.08883,Lino Lakes,US,America/Chicago,3590433799317661875
37,-19.72806,-50.19556,Iturama,BR,America/Sao_Paulo,8630330696303481875
38,10.98778,-74.95472,Puerto Colombia,CO,America/Bogota,3590433799317661842
39,51.88333,8.51667,Verl,DE,Europe/Berlin,3590433799317661461
40,48.35693,10.98461,Friedberg,DE,Europe/Berlin,359043379931766551
41,-6.25,38.66667,Mvomero,TZ,Africa/Dar_es_Salaam,359043379931766528
42,-21.41222,-42.19667,Miracema,BR,America/Sao_Paulo,3590433799317661388
43,52.21099,7.02238,Gronau,DE,Europe/Berlin,8630330696303482014
44,55.82885,-4.21376,Rutherglen,GB,Europe/London,8630330696303482055
45,3.8801,-77.03116,Buenaventura,CO,America/Bogota,359043379931766353
46,8.48714,-13.2356,Freetown,SL,Africa/Freetown,863033069630348412
47,53.46506,-1.47217,Chapletown,GB,Europe/London,3590433799317661800
48,41.09246,45.36561,Qazax,AZ,Asia/Baku,3590433799317661727
49,39.00622,-77.4286,Sterling,US,America/New_York,359043379931766833
50,50.06,43.2379,Mikhaylovka,RU,Europe/Volgograd,8630330696303481875
51,20.74122,-100.44843,Santa Rosa Jauregui,MX,America/Mexico_City,863033069630348628
52,39.08367,-84.50855,Covington,US,America/New_York,863033069630348578
53,40.82232,-74.15987,Nutley,US,America/New_York,8630330696303482345
54,32.44874,-99.73314,Abilene,US,America/Chicago,359043379931766296
55,41.84364,-87.71255,South Lawndale,US,America/Chicago,863033069630348560
56,51.65,-0.2,Barnet,GB,Europe/London,3590433799317662295
57,34.25,135.31667,Iwade,JP,Asia/Tokyo,359043379931766254
58,-30.60106,-71.19901,Ovalle,CL,America/Santiago,8630330696303481057
59,21.34222,71.30633,Kundla,IN,Asia/Kolkata,8630330696303481164
60,43.35071,46.10925,Gudermes,RU,Europe/Moscow,8630330696303481347
61,40.53123,17.58522,Francavilla Fontana,IT,Europe/Rome,863033069630348412
62,41.41204,2.18247,el Camp de l'Arpa del Clot,ES,Europe/Madrid,8630330696303481669
63,-21.205,-41.88778,Itaperuna,BR,America/Sao_Paulo,8630330696303481263
64,-37.32167,-59.13316,Tandil,AR,America/Argentina/Buenos_Aires,3590433799317661446
65,56.03361,35.96944,Volokolamsk,RU,Europe/Moscow,8630330696303481065
66,32.50611,120.14278,Jiangyan,CN,Asia/Shanghai,3590433799317661784
67,32.9156,-117.14392,Mira Mesa,US,America/Los_Angeles,359043379931766924
68,4.92675,6.26764,Yenagoa,NG,Africa/Lagos,3590433799317661297
69,42.62833,20.89389,Glogovac,XK,Europe/Belgrade,863033069630348958
70,54.52156,9.5586,Schleswig,DE,Europe/Berlin,8630330696303482451
71,10.63504,-85.43772,Liberia,CR,America/Costa_Rica,8630330696303481297
72,18.20854,-71.10077,Santa Cruz de Barahona,DO,America/Santo_Domingo,8630330696303482154
73,23.5654,119.58627,Magong,TW,Asia/Taipei,8630330696303481412
74,33.14447,47.3799,Darreh Shahr,IR,Asia/Tehran,3590433799317661669
75,3.31332,117.59152,Tarakan,ID,Asia/Makassar,3590433799317662485
76,48.07667,8.64409,Trossingen,DE,Europe/Berlin,359043379931766007
77,29.65163,-82.32483,Gainesville,US,America/New_York,8630330696303481909
78,45.40008,-73.58248,Sainte-Catherine,CA,America/Toronto,863033069630348198
79,32.54044,-82.90375,Dublin,US,America/New_York,863033069630348818
80,9.15093,-79.62098,Chilibre,PA,America/Panama,863033069630348800
81,16.455,120.5875,La Trinidad,PH,Asia/Manila,3590433799317661248
82,16.0567,103.65309,Roi Et,TH,Asia/Bangkok,3590433799317661719
83,31.76212,-95.63079,Palestine,US,America/Chicago,8630330696303481412
84,6.46838,-73.26022,Socorro,CO,America/Bogota,863033069630348040
85,11.86064,9.0027,Gaya,NG,Africa/Lagos,8630330696303481446
86,48.07667,8.64409,Trossingen,DE,Europe/Berlin,3590433799317662360
87,51.47805,6.8625,Oberhausen,DE,Europe/Berlin,8630330696303481727
88,50.82882,-0.32247,Lancing,GB,Europe/London,8630330696303481735
89,52.61131,13.31783,Hermsdorf,DE,Europe/Berlin,863033069630348420
90,25.95533,68.88871,Jhol,PK,Asia/Karachi,3590433799317661438
91,-11.94306,-76.70944,Chosica,PE,America/Lima,8630330696303482022
92,51.40944,46.04833,Privolzhskiy,RU,Europe/Saratov,8630330696303482493
93,39.46667,141.95,Yamada,JP,Asia/Tokyo,863033069630348206
94,-29.2975,-51.50361,Carlos Barbosa,BR,America/Sao_Paulo,8630330696303482279
95,22.88783,84.13864,Jashpurnagar,IN,Asia/Kolkata,3590433799317662204
96,56.11281,69.49015,Ishim,RU,Asia/Yekaterinburg,359043379931766049
97,41.47892,-87.45476,Schererville,US,America/Chicago,8630330696303481016
98,37.16911,10.03478,El Alia,TN,Africa/Tunis,8630330696303481644
99,57.14369,-2.09814,Aberdeen,GB,Europe/London,863033069630348974
100,50.8,3.16667,Wevelgem,BE,Europe/Brussels,3590433799317661479
101,5.84752,-5.682,Lakota,CI,Africa/Abidjan,8630330696303482063
102,46.67535,5.55575,Lons-le-Saunier,FR,Europe/Paris,3590433799317661990
103,40.87329,14.43865,Somma Vesuviana,IT,Europe/Rome,8630330696303481008
104,53.69786,-2.68758,Leyland,GB,Europe/London,359043379931766981
105,41.77583,140.73667,Hakodate,JP,Asia/Tokyo,3590433799317662097
106,12.74482,4.52514,Argungu,NG,Africa/Lagos,863033069630348669
107,39.43534,-84.20299,Lebanon,US,America/New_York,863033069630348966
108,41.27621,-72.86843,East Haven,US,America/New_York,3590433799317662485
109,23.49668,86.68363,Adra,IN,Asia/Kolkata,863033069630348032
110,38.96667,-0.18333,Gandia,ES,Europe/Madrid,3590433799317661248
111,42.62833,20.89389,Glogovac,XK,Europe/Belgrade,3590433799317661214
112,51.21667,6.26667,Schwalmtal,DE,Europe/Berlin,863033069630348073
113,25.92127,86.79271,Madhipura,IN,Asia/Kolkata,8630330696303481677
114,19.32932,-98.1664,Contla,MX,America/Mexico_City,3590433799317662402
115,32.42067,-104.22884,Carlsbad,US,America/Denver,3590433799317661875
116,48.90982,2.45012,Bobigny,FR,Europe/Paris,359043379931766593
117,22.10194,85.37752,Barbil,IN,Asia/Kolkata,359043379931766775
118,13.70167,-89.10944,Ilopango,SV,America/El_Salvador,8630330696303482311
119,38.47917,-1.325,Jumilla,ES,Europe/Madrid,3590433799317661701
120,7.83389,-72.47417,Villa del Rosario,CO,America/Bogota,3590433799317661859
121,52.26083,7.00417,Losser,NL,Europe/Amsterdam,359043379931766262
122,56.56317,-2.58736,Arbroath,GB,Europe/London,8630330696303481032
123,50.7236,-3.52751,Exeter,GB,Europe/London,359043379931766080
124,4.2475,9.00472,Idenao,CM,Africa/Douala,863033069630348883
125,39.45621,-77.96389,Martinsburg,US,America/New_York,359043379931766932
126,36.46917,10.78222,Beni Khiar,TN,Africa/Tunis,3590433799317661990
127,37.56667,140.11667,Inawashiro,JP,Asia/Tokyo,3590433799317661370
128,56.11281,69.49015,Ishim,RU,Asia/Yekaterinburg,3590433799317661594
129,51.67822,33.9162,Hlukhiv,UA,Europe/Kyiv,8630330696303481396
130,18.42745,-67.15407,Aguadilla,PR,America/Puerto_Rico,3590433799317661073
131,-13.7804,34.4587,Salima,MW,Africa/Blantyre,359043379931766833
132,49.144482,15.006139,Jindřichův Hradec,CZ,Europe/Prague,3590433799317662170
133,48.975658,14.480255,České Budějovice,CZ,Europe/Prague,3590433799317661198
134,10.12268,77.54372,Periyakulam,IN,Asia/Kolkata,3590433799317661032
135,48.98994,2.1699,Herblay,FR,Europe/Paris,3590433799317662378
136,8.35122,-62.64102,Ciudad Guayana,VE,America/Caracas,8630330696303481735
137,4.96667,10.7,Tonga,CM,Africa/Douala,8630330696303481289
138,-7.60361,37.00438,Kidodi,TZ,Africa/Dar_es_Salaam,8630330696303481453
139,35.89972,14.51472,Valletta,MT,Europe/Malta,8630330696303481313
140,41.24264,16.50104,Bisceglie,IT,Europe/Rome,8630330696303481834
141,52.53048,13.29371,Charlottenburg-Nord,DE,Europe/Berlin,3590433799317661495
142,32.5007,-94.74049,Longview,US,America/Chicago,3590433799317661529
143,34.77453,-96.67834,Ada,US,America/Chicago,863033069630348586
144,20.21322,-100.88023,Salvatierra,MX,America/Mexico_City,359043379931766395
145,38.13708,41.00817,Silvan,TR,Europe/Istanbul,863033069630348222
146,28.88162,120.03308,Guli,CN,Asia/Shanghai,3590433799317662493
147,55.82885,-4.21376,Rutherglen,GB,Europe/London,3590433799317661115
148,21.53889,71.57737,Gariadhar,IN,Asia/Kolkata,863033069630348818
149,35.72917,10.58082,Msaken,TN,Africa/Tunis,359043379931766510
150,13.51825,99.95469,Damnoen Saduak,TH,Asia/Bangkok,359043379931766858
151,10.61285,12.19458,Biu,NG,Africa/Lagos,8630330696303482022
152,37.49073,-2.77259,Baza,ES,Europe/Madrid,8630330696303482238
153,49.65186,26.97253,Krasyliv,UA,Europe/Kyiv,8630330696303481131
154,48.35149,8.96317,Hechingen,DE,Europe/Berlin,8630330696303481230
155,5.20856,-74.73584,Honda,CO,America/Bogota,8630330696303481339
156,30.75545,20.22625,Ajdabiya,LY,Africa/Tripoli,3590433799317661131
157,35.50056,117.63083,Pingyi,CN,Asia/Shanghai,8630330696303481917
158,59.37722,28.19028,Narva,EE,Europe/Tallinn,359043379931766411
159,42.8139,-1.64295,Segundo Ensanche,ES,Europe/Madrid,863033069630348347
160,42.64031,125.51176,Dongfeng,CN,Asia/Shanghai,3590433799317661404
161,45.44694,8.62118,Novara,IT,Europe/Rome,8630330696303482105
162,23.02677,113.13148,Foshan,CN,Asia/Shanghai,8630330696303482220
163,25.49043,85.94001,Teghra,IN,Asia/Kolkata,8630330696303481883
164,33.7207,-116.21677,Indio,US,America/Los_Angeles,359043379931766015
165,-8.66667,-35.71667,Catende,BR,America/Recife,863033069630348644
166,40.87363,14.34085,Volla,IT,Europe/Rome,3590433799317662360
167,52.2,8.63333,Kirchlengern,DE,Europe/Berlin,3590433799317661545
168,34.85,117.33333,Taozhuang,CN,Asia/Shanghai,8630330696303481024
169,36.08497,9.37082,Siliana,TN,Africa/Tunis,3590433799317661826
170,-23.7975,-48.59278,Buri,BR,America/Sao_Paulo,8630330696303481214
171,25.95533,68.88871,Jhol,PK,Asia/Karachi,3590433799317661917
172,35.25064,-91.73625,Searcy,US,America/Chicago,863033069630348016
173,36.53333,136.61667,Nonoichi,JP,Asia/Tokyo,863033069630348297
174,23.1959,86.51499,Kenda,IN,Asia/Kolkata,359043379931766445
175,1.6,103.81667,Ulu Tiram,MY,Asia/Kuala_Lumpur,3590433799317661339
176,40.1675,34.37389,Sungurlu,TR,Europe/Istanbul,359043379931766528
177,17.34769,78.55757,Lal Bahadur Nagar,IN,Asia/Kolkata,359043379931766999
178,48.52961,12.16179,Landshut,DE,Europe/Berlin,3590433799317661438
179,10.12268,77.54372,Periyakulam,IN,Asia/Kolkata,8630330696303481628
180,-7.54972,110.71639,Ngemplak,ID,Asia/Jakarta,3590433799317662386
