,ts,imei,mwra,p.android.chrome,p.android.externalstorage,p.android.gm,p.android.packageinstaller,p.android.settings,p.android.documentsui,p.system,p.gms.persistent,p.android.gms,p.simulator,p.inputmethod.latin,p.android.vending,p.notifier,p.katana,p.browser.provider,p.olauncher,p.process.gapps,p.google,p.android.defcontainer,p.dogalize
0,2018-05-05 10:00:00,359043379931766817,0.0,12.67131,11.51584,11.1477,16.65822,10.34567,13.85827,14.24441,56.09808,0.01004,37.76847,67.41099,43.41425,76.85292,61.49504,83.84273,90.26474,64.52255,58.33299,53.62833,71.56538
1,2018-05-05 10:01:00,8630330696303481313,1.0,14.37083,10.40542,9.51907,16.41548,8.97598,13.02322,16.31514,59.5132,0.05478,43.38375,63.46175,41.06191,96.50752,90.9146,28.285,8.85422,51.89787,15.59966,73.88848,8.64346
2,2018-05-05 10:02:00,8630330696303482485,1.0,15.29793,11.5774,13.1584,11.13504,12.78871,15.33671,18.05368,38.58355,0.13834,44.46979,61.37235,41.1434,14.49331,74.7388,4.18073,6.10243,44.94162,60.25186,74.62467,43.83823
3,2018-05-05 10:03:00,8630330696303481628,0.0,17.46341,11.75419,11.61736,12.61226,9.20242,11.43078,9.84154,54.68177,1.20589,55.29236,43.42172,49.29721,21.64738,71.05116,62.98376,44.42369,51.61388,13.60374,19.42437,1.84968
4,2018-05-05 10:04:00,359043379931766957,0.0,10.87997,12.6241,13.19246,13.77152,15.4898,14.81432,14.67672,30.53361,0.00169,27.95382,48.06657,70.43036,90.86824,42.6669,60.74888,50.69262,24.4656,70.89736,46.68829,36.31749
5,2018-05-05 10:05:00,8630330696303481446,1.0,11.8823,12.03101,11.85414,15.33308,9.48839,15.68453,14.30349,47.8332,0.00458,61.55217,79.01544,42.81627,82.47807,16.55401,86.07172,67.9817,80.69637,6.93674,0.21792,21.08736
6,2018-05-05 10:06:00,3590433799317661065,1.0,13.8288,12.40306,11.11645,15.9844,9.04706,13.27663,16.71941,69.8437,0.03187,42.82773,54.78224,42.02623,86.48085,16.21735,47.96587,80.85453,85.84343,34.63081,79.71525,3.78122
7,2018-05-05 10:07:00,8630330696303482139,1.0,7.4256,13.7083,10.13552,14.60747,18.99538,17.03361,14.19047,43.40573,9e-05,57.90253,52.63615,29.73291,63.25478,59.63178,6.5142,54.83175,96.10002,89.88175,4.42438,68.12205
8,2018-05-05 10:08:00,863033069630348735,1.0,13.734,7.84462,11.17519,15.45637,14.03401,14.40836,11.49647,29.77734,0.02899,39.36091,64.89732,30.14432,18.14628,91.89821,4.83511,51.51964,55.41552,2.70983,47.76945,93.81122
9,2018-05-05 10:09:00,863033069630348834,1.0,14.58266,13.94724,10.13581,12.5651,10.22033,12.67595,14.50145,53.95526,0.06771,32.93882,51.22626,56.99755,54.19781,5.14643,57.1774,70.85514,28.21117,54.83669,52.84358,32.64957
10,2018-05-05 10:10:00,3590433799317661826,1.0,7.26473,17.26687,11.2195,11.86917,11.35186,19.95667,9.30134,53.38599,6e-05,82.3309,71.49237,22.19069,81.06786,77.70571,30.04551,91.81029,9.50091,9.29906,70.76533,66.19106
11,2018-05-05 10:11:00,359043379931766643,1.0,13.16237,9.45708,7.78145,16.4375,7.72793,17.94786,14.65933,51.13578,0.01638,30.67779,40.49639,38.7988,78.65087,54.63678,51.5354,51.89685,98.3467,15.48309,11.26783,72.49881
12,2018-05-05 10:12:00,863033069630348867,1.0,11.39319,15.45337,11.57289,14.90393,14.72209,12.57754,15.0891,48.18574,0.0028,41.45658,53.36107,34.89436,55.94501,15.16305,51.28351,36.86674,63.20402,27.43763,68.03898,78.15514
13,2018-05-05 10:13:00,3590433799317661727,0.0,14.65232,15.19718,14.70059,15.8299,17.83642,12.77384,10.20191,57.78167,0.07255,40.08577,63.36937,46.58431,19.16979,69.42721,76.95568,18.48107,22.1356,48.64365,85.90877,67.94143
14,2018-05-05 10:14:00,8630330696303481784,0.0,14.94349,13.05954,14.56408,14.71571,17.59565,12.09468,11.31982,40.24557,0.09707,23.84675,65.88616,70.43657,39.86136,28.71581,96.3723,81.24238,74.16863,11.10818,70.6045,97.69551
15,2018-05-05 10:15:00,3590433799317661560,1.0,9.18556,17.12446,11.82333,14.23349,11.1076,18.77987,10.19852,49.73852,0.00033,43.59921,36.25783,44.01674,41.89542,92.53142,39.46629,29.88804,54.29643,38.88659,34.09404,17.87546
16,2018-05-05 10:16:00,8630330696303481255,1.0,15.54159,11.88782,10.91929,14.25177,12.12842,15.53967,14.36649,48.78552,0.17651,38.55513,48.42753,28.77565,72.98239,12.42657,86.3396,64.27939,70.85785,60.1032,51.78782,70.71019
17,2018-05-05 10:17:00,359043379931766692,0.0,9.10627,14.14072,15.57392,15.77181,18.49267,13.76486,10.39955,36.0618,0.00032,49.51467,49.3501,17.15379,41.86342,4.42852,61.41559,58.01684,44.21886,34.23535,22.52157,88.58181
18,2018-05-05 10:18:00,8630330696303481776,1.0,12.80619,14.61264,9.93053,15.25432,15.46825,15.06539,15.71794,52.58236,0.01145,71.39674,57.1875,53.3438,70.47059,72.74697,33.36739,60.42429,31.17401,68.09574,4.26677,56.99356
19,2018-05-05 10:19:00,3590433799317661065,0.0,11.87896,13.11306,12.63468,17.13477,11.30751,17.11447,8.71786,12.88681,0.00455,40.83205,54.0451,57.83104,37.65325,98.19586,28.20281,9.77221,39.28742,36.3351,58.29195,89.01886
20,2018-05-05 10:20:00,8630330696303481826,1.0,14.32925,14.55938,11.66545,16.78495,11.01877,13.91373,15.44195,33.89341,0.05253,46.7729,55.58064,58.08903,67.16727,15.05859,37.55163,20.27028,35.86815,43.52568,71.27436,30.94016
